request_id,run_id,source_team,priority,status,statement,acceptance_criteria_refs,constraint_refs,evidence_refs,assignee,supersedes_request_id
CR-0001,run_2026-02-10_001,grey,P1,open,example placeholder request,[],[],[],qa_fixer,
CR-0004,run_2026-02-10_001,blue,P1,open,Define hard operational constraints that protect the trust-first narrative without diluting clarity for the primary pet-parent audience.,"[""pipeline/01_blue_output.md""]",[],[],black,
CR-0006,run_2026-02-10_001,blue,P1,open,Synthesize cross-team outputs into one narrative spine that preserves user emotional meaning while handling unresolved tradeoffs.,"[""pipeline/01_blue_output.md""]",[],[],grey,
CR-0008,run_2026-02-10_001,red,P1,open,"Specify non-negotiable approval gates for packaging realism (geometry type fidelity, label-wrap feasibility, prohibited-zone coverage, and compliance-mark provenance).","[""pipeline/02_red_output.md""]",[],[],black,
CR-0010,run_2026-02-10_001,red,P1,open,Synthesize cross-team controls into one anti-exploit approval path that blocks visually polished but unverifiable assets and preserves unresolved disagreements explicitly.,"[""pipeline/02_red_output.md""]",[],[],grey,
CR-0015,run_2026-02-10_001,blue,P1,open,Synthesize dual-voice governance and publication-authority lane into one integrated directive preserving unresolved tradeoffs explicitly for QA prioritization.,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]",[],[],grey,
CR-0018,run_2026-02-10_001,white,P1,open,"Create canonical lexical guardrail artifact with allowed/disallowed examples and explicit fail tests for overclaim implication, efficacy-adjacent wording, and judgment framing.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]",[],qa_fixer,
CR-0019,run_2026-02-10_001,white,P1,open,"Require provenance metadata fields in review/approval artifacts: prompt version, model/version, source input hash, editor log, confidence label, and approval timestamp.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/shared/HANDOFF_PROTOCOL.md"", ""teams/qa_fixer/spec.md""]",[],qa_fixer,
CR-GREEN-0001,run_2026-02-10_001,green,P1,open,"Define mode-specific hard constraints and warning thresholds (educational vs promotional) at each review label (`explore`, `draft`, `approved`) so first-time users can predict allowed output behavior before submission.","[""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]","[""teams/black/spec.md"", ""planning/BUDGET_GUARDRAILS_STANDARD.md""]","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]",black,
CR-GREEN-0003,run_2026-02-10_001,green,P2,open,"Specify constraint-bound starter presets for common packaging asset types (pouch, bottle, jug, box) with minimal required fields and explicit fail conditions for realism/provenance gaps.","[""pipeline/03_green_output.md"", ""pipeline/02_red_output.md""]","[""teams/black/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]",black,
CR-0026-BLUE,run_2026-02-10_001,blue,P1,open,"Define hard submission constraints for external editorial placements: traceability minimums, bounded-claim requirements, and prohibited implication classes.","[""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md""]",[],[],black,
CR-0027-BLUE,run_2026-02-10_001,blue,P1,open,Synthesize CR-0022-BLUE through CR-0026-BLUE into one prioritized execution path with explicit unresolved-tradeoff capture for QA readiness.,"[""pipeline/01_blue_output.md"", ""pipeline/06_grey_output.md""]",[],[],grey,
CR-RED-0016,run_2026-02-10_001,red,P1,open,"Define hard sign-off constraints requiring machine-verifiable linkage between review labels (`explore`,`draft`,`approved`) and White lexical pass/fail test outcomes before approval.","[""pipeline/02_red_output.md"", ""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]","[""teams/black/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]",[],black,
